Signal Legend:

Key        Signal Name

0        = debug_num1[6..0]
1        = KEY[2]
2        = HEX5[6..0]
3        = HEX4[6..0]
4        = HEX4[6]
5        = HEX4[5]
6        = HEX4[4]
7        = HEX4[3]
8        = HEX4[2]
9        = HEX4[1]
10       = HEX4[0]

Data Table:

Signals-> 0   1 2   3   4 5 6 7 8 9 10 

sample

-709      00h 0 40h 02h 0 0 0 0 0 1 0  
-708      00h 0 40h 02h 0 0 0 0 0 1 0  
-707      00h 0 40h 02h 0 0 0 0 0 1 0  
-706      00h 0 40h 02h 0 0 0 0 0 1 0  
-705      00h 0 40h 02h 0 0 0 0 0 1 0  
-704      00h 0 40h 02h 0 0 0 0 0 1 0  
-703      00h 0 40h 02h 0 0 0 0 0 1 0  
-702      00h 0 40h 02h 0 0 0 0 0 1 0  
-701      00h 0 40h 02h 0 0 0 0 0 1 0  
-700      00h 0 40h 02h 0 0 0 0 0 1 0  
-699      00h 0 40h 02h 0 0 0 0 0 1 0  
-698      00h 0 40h 02h 0 0 0 0 0 1 0  
-697      00h 0 40h 02h 0 0 0 0 0 1 0  
-696      00h 0 40h 02h 0 0 0 0 0 1 0  
-695      00h 0 40h 02h 0 0 0 0 0 1 0  
-694      00h 0 40h 02h 0 0 0 0 0 1 0  
-693      00h 0 40h 02h 0 0 0 0 0 1 0  
-692      00h 0 40h 02h 0 0 0 0 0 1 0  
-691      00h 0 40h 02h 0 0 0 0 0 1 0  
-690      00h 0 40h 02h 0 0 0 0 0 1 0  
-689      00h 0 40h 02h 0 0 0 0 0 1 0  
-688      00h 0 40h 02h 0 0 0 0 0 1 0  
-687      00h 0 40h 02h 0 0 0 0 0 1 0  
-686      00h 0 40h 02h 0 0 0 0 0 1 0  
-685      00h 0 40h 02h 0 0 0 0 0 1 0  
-684      00h 0 40h 02h 0 0 0 0 0 1 0  
-683      00h 0 40h 02h 0 0 0 0 0 1 0  
-682      00h 0 40h 02h 0 0 0 0 0 1 0  
-681      00h 0 40h 02h 0 0 0 0 0 1 0  
-680      00h 0 40h 02h 0 0 0 0 0 1 0  
-679      00h 0 40h 02h 0 0 0 0 0 1 0  
-678      00h 0 40h 02h 0 0 0 0 0 1 0  
-677      00h 0 40h 02h 0 0 0 0 0 1 0  
-676      00h 0 40h 02h 0 0 0 0 0 1 0  
-675      00h 0 40h 02h 0 0 0 0 0 1 0  
-674      00h 0 40h 02h 0 0 0 0 0 1 0  
-673      00h 0 40h 02h 0 0 0 0 0 1 0  
-672      00h 0 40h 02h 0 0 0 0 0 1 0  
-671      00h 0 40h 02h 0 0 0 0 0 1 0  
-670      00h 0 40h 02h 0 0 0 0 0 1 0  
-669      00h 0 40h 02h 0 0 0 0 0 1 0  
-668      00h 0 40h 02h 0 0 0 0 0 1 0  
-667      00h 0 40h 02h 0 0 0 0 0 1 0  
-666      00h 0 40h 02h 0 0 0 0 0 1 0  
-665      00h 0 40h 02h 0 0 0 0 0 1 0  
-664      00h 0 40h 02h 0 0 0 0 0 1 0  
-663      00h 0 40h 02h 0 0 0 0 0 1 0  
-662      00h 0 40h 02h 0 0 0 0 0 1 0  
-661      00h 0 40h 02h 0 0 0 0 0 1 0  
-660      00h 0 40h 02h 0 0 0 0 0 1 0  
-659      00h 0 40h 02h 0 0 0 0 0 1 0  
-658      00h 0 40h 02h 0 0 0 0 0 1 0  
-657      00h 0 40h 02h 0 0 0 0 0 1 0  
-656      00h 0 40h 02h 0 0 0 0 0 1 0  
-655      00h 0 40h 02h 0 0 0 0 0 1 0  
-654      00h 0 40h 02h 0 0 0 0 0 1 0  
-653      00h 0 40h 02h 0 0 0 0 0 1 0  
-652      00h 0 40h 02h 0 0 0 0 0 1 0  
-651      00h 0 40h 02h 0 0 0 0 0 1 0  
-650      00h 0 40h 02h 0 0 0 0 0 1 0  
-649      00h 0 40h 02h 0 0 0 0 0 1 0  
-648      00h 0 40h 02h 0 0 0 0 0 1 0  
-647      00h 0 40h 02h 0 0 0 0 0 1 0  
-646      00h 0 40h 02h 0 0 0 0 0 1 0  
-645      00h 0 40h 02h 0 0 0 0 0 1 0  
-644      00h 0 40h 02h 0 0 0 0 0 1 0  
-643      00h 0 40h 02h 0 0 0 0 0 1 0  
-642      00h 0 40h 02h 0 0 0 0 0 1 0  
-641      00h 0 40h 02h 0 0 0 0 0 1 0  
-640      00h 0 40h 02h 0 0 0 0 0 1 0  
-639      00h 0 40h 02h 0 0 0 0 0 1 0  
-638      00h 0 40h 02h 0 0 0 0 0 1 0  
-637      00h 0 40h 02h 0 0 0 0 0 1 0  
-636      00h 0 40h 02h 0 0 0 0 0 1 0  
-635      00h 0 40h 02h 0 0 0 0 0 1 0  
-634      00h 0 40h 02h 0 0 0 0 0 1 0  
-633      00h 0 40h 02h 0 0 0 0 0 1 0  
-632      00h 0 40h 02h 0 0 0 0 0 1 0  
-631      00h 0 40h 02h 0 0 0 0 0 1 0  
-630      00h 0 40h 02h 0 0 0 0 0 1 0  
-629      00h 0 40h 02h 0 0 0 0 0 1 0  
-628      00h 0 40h 02h 0 0 0 0 0 1 0  
-627      00h 0 40h 02h 0 0 0 0 0 1 0  
-626      00h 0 40h 02h 0 0 0 0 0 1 0  
-625      00h 0 40h 02h 0 0 0 0 0 1 0  
-624      00h 0 40h 02h 0 0 0 0 0 1 0  
-623      00h 0 40h 02h 0 0 0 0 0 1 0  
-622      00h 0 40h 02h 0 0 0 0 0 1 0  
-621      00h 0 40h 02h 0 0 0 0 0 1 0  
-620      00h 0 40h 02h 0 0 0 0 0 1 0  
-619      00h 0 40h 02h 0 0 0 0 0 1 0  
-618      00h 0 40h 02h 0 0 0 0 0 1 0  
-617      00h 0 40h 02h 0 0 0 0 0 1 0  
-616      00h 0 40h 02h 0 0 0 0 0 1 0  
-615      00h 0 40h 02h 0 0 0 0 0 1 0  
-614      00h 0 40h 02h 0 0 0 0 0 1 0  
-613      00h 0 40h 02h 0 0 0 0 0 1 0  
-612      00h 0 40h 02h 0 0 0 0 0 1 0  
-611      00h 0 40h 02h 0 0 0 0 0 1 0  
-610      00h 0 40h 02h 0 0 0 0 0 1 0  
-609      00h 0 40h 02h 0 0 0 0 0 1 0  
-608      00h 0 40h 02h 0 0 0 0 0 1 0  
-607      00h 0 40h 02h 0 0 0 0 0 1 0  
-606      00h 0 40h 02h 0 0 0 0 0 1 0  
-605      00h 0 40h 02h 0 0 0 0 0 1 0  
-604      00h 0 40h 02h 0 0 0 0 0 1 0  
-603      00h 0 40h 02h 0 0 0 0 0 1 0  
-602      00h 0 40h 02h 0 0 0 0 0 1 0  
-601      00h 0 40h 02h 0 0 0 0 0 1 0  
-600      00h 0 40h 02h 0 0 0 0 0 1 0  
-599      00h 0 40h 02h 0 0 0 0 0 1 0  
-598      00h 0 40h 02h 0 0 0 0 0 1 0  
-597      00h 0 40h 02h 0 0 0 0 0 1 0  
-596      00h 0 40h 02h 0 0 0 0 0 1 0  
-595      00h 0 40h 02h 0 0 0 0 0 1 0  
